	Tuft.1	Tuft.2	Tuft.3	Tuft.4	anno	umicount	mean_count
KIF11	0.235	-0.318	1.275	-0.28	Tuft-3	94	0.0205698941702019
VRK1	-0.141	-0.01	1.188	0.009	Tuft-3	94	0.0216793429744262
CDCA3	-0.307	-0.239	1.395	0.205	Tuft-3	95	0.0178540865171576
PCLAF	0.164	-0.19	1.182	-0.186	Tuft-3	95	0.0217301987738163
RACGAP1	0.21	-0.246	1	-0.263	Tuft-3	95	0.0226566835587625
KIF14	0.148	-0.164	1.446	-0.282	Tuft-3	97	0.0221671950552598
KNL1	0.152	-0.281	1.484	-0.17	Tuft-3	98	0.0193703855237965
SAPCD2	-0.061	0.059	1.743	-0.074	Tuft-3	100	0.0231503503258324
BUB1	-0.323	0.264	1.563	-0.377	Tuft-3	104	0.0264586774374525
MAD2L1	0.04	-0.041	1.299	-0.517	Tuft-3	110	0.0242504203208544
CDCA8	0.163	-0.184	1.468	-0.476	Tuft-3	112	0.027551202287726
BIRC5	-0.167	-0.349	1.652	0.15	Tuft-3	118	0.0259557037003686
TROAP	0.19	-0.454	1.34	-0.219	Tuft-3	121	0.0271341174667914
BRCA2	0	-0.274	1.869	0	Tuft-3	125	0.0289029701451595
CCDC34	0.234	-0.411	1.084	-0.279	Tuft-3	126	0.0323359648117436
GTSE1	0.474	-0.712	1.242	-0.816	Tuft-3	127	0.0306951680777829
MSANTD2	-0.799	-0.439	1.12	0.336	Tuft-3	132	0.0344692225937964
AURKB	0.011	-0.011	1.878	-0.142	Tuft-3	133	0.0279310361825948
KIF20B	-0.085	0	1.788	0	Tuft-3	134	0.0305584499641962
CCNA2	-0.303	-0.065	1.638	0.062	Tuft-3	135	0.03138314720152
AURKA	0.026	-0.026	1.076	-0.219	Tuft-3	137	0.0333108055434888
MIS18A	-0.018	-0.34	1.594	0.017	Tuft-3	137	0.0274991088177698
NUF2	-0.383	0.193	1.891	-0.223	Tuft-3	137	0.0284607657680803
ZWINT	0.239	-0.286	1.055	-0.882	Tuft-3	140	0.0339990419585382
SMC2	0.139	-0.361	1.558	-0.154	Tuft-3	143	0.0309009618346059
CDC20	-0.053	-0.31	2.34	0.051	Tuft-3	150	0.0335318083952987
TK1	-0.006	-0.044	1.23	0.006	Tuft-3	153	0.0369224483774413
H2AX	0.151	-0.714	1.307	-0.168	Tuft-3	154	0.033651694736707
NCAPD2	0.003	-0.119	1.249	-0.003	Tuft-3	162	0.0387504166662113
PRR11	-0.186	-0.054	1.838	0.052	Tuft-3	169	0.0418595840217414
TPX2	0.042	-0.572	1.792	-0.043	Tuft-3	173	0.0409154630505783
RRM2	0.298	-0.633	1.164	-0.377	Tuft-3	178	0.0435293644934668
DTYMK	0.128	-0.336	1.071	-0.14	Tuft-3	184	0.0452266266250929
CENPE	-0.236	0.203	2.045	-0.239	Tuft-3	187	0.0461365172429093
YBX2	-0.23	-0.684	1.228	0.199	Tuft-3	188	0.0476926590124773
CDKN2D	-0.064	-0.349	1.195	0.061	Tuft-3	189	0.0390942349244771
CCNB2	0.229	-0.343	1.684	-0.272	Tuft-3	193	0.0422930007484169
ASPM	-0.389	-0.096	1.981	0.09	Tuft-3	207	0.0414868107213284
CKB	0.174	-1.255	1.756	-0.198	Tuft-3	209	0.0491736892384692
RRM1	-0.091	-0.134	1.335	0.085	Tuft-3	209	0.0488481914979778
CDK1	0.055	-0.057	2.193	-0.068	Tuft-3	212	0.0400650024474282
ITLN1	-0.861	-1.044	1.971	0.536	Tuft-3	215	0.0690007149246604
ECT2	0.179	-0.468	1.029	-0.205	Tuft-3	217	0.0498707318395905
GGH	-0.534	-0.363	1.121	0.29	Tuft-3	217	0.0552498687250203
HMX2	-0.461	-0.502	1.311	0.349	Tuft-3	221	0.0591401305324431
SMOC2	-0.755	-0.378	1.384	0.299	Tuft-3	222	0.0517630738303691
CKS2	-0.203	0.055	1.26	-0.058	Tuft-3	235	0.058793128112542
CCNB1	0.049	-0.051	2.032	-0.268	Tuft-3	236	0.0528918105100053
UBE2C	-0.516	0.093	2.405	-0.1	Tuft-3	236	0.0493026065378828
TACC3	-0.044	-0.385	1.891	0.043	Tuft-3	237	0.0579396234355552
HMGB2	0.166	-0.188	1.172	-0.504	Tuft-3	261	0.0653302016183741
KPNA2	-0.082	0.078	1.539	-0.092	Tuft-3	269	0.0608003511784992
PIGR	-0.117	-0.186	1.093	0.108	Tuft-3	271	0.0687356499635641
PLEKHS1	-0.507	-0.932	1.518	0.374	Tuft-3	281	0.0652169747482824
CKAP2	-0.067	0.064	1.026	-0.598	Tuft-3	286	0.0709946945804698
PSAT1	0.002	-0.002	1.055	-0.061	Tuft-3	294	0.0730646767381601
PTTG1	-0.146	-0.342	2.101	0.133	Tuft-3	301	0.0729192750385353
TUBB4B	-0.148	-0.116	1.181	0.107	Tuft-3	338	0.0750226295570982
GGA2	-0.053	-0.551	1.166	0.051	Tuft-3	347	0.0904753491439565
CKS1B	0.015	-0.016	1.589	-0.261	Tuft-3	351	0.0863322757616587
ANP32E	-0.026	-0.134	1.034	0.025	Tuft-3	373	0.0905298838397336
POMC	-1.721	-1.859	1.521	0.763	Tuft-3	384	0.0859096401230777
SMC4	0.168	-0.604	1.524	-0.191	Tuft-3	394	0.0940703601611525
ILF2	-0.137	-0.119	1.017	0.11	Tuft-3	412	0.0990173987964114
KRT19	-0.016	-1.018	1.58	0.016	Tuft-3	418	0.100337044974193
ONECUT2	-0.703	-0.744	1.639	0.471	Tuft-3	446	0.114551315356969
CENPF	0.215	-0.354	2.282	-0.252	Tuft-3	461	0.108301248999956
CBX5	-0.392	-0.042	1.473	0.041	Tuft-3	497	0.121664220964331
MKI67	0.242	-0.371	2.271	-0.291	Tuft-3	502	0.113359159135497
TMPO	0.078	-0.082	1.19	-0.099	Tuft-3	505	0.129660079231969
NOS2	-2.253	-2.253	1.413	0.84	Tuft-3	532	0.118949315725232
TOP2A	-0.395	0.095	2.658	-0.102	Tuft-3	532	0.108964423483075
GRASP	-0.152	-0.216	1.194	0.138	Tuft-3	585	0.150704603725268
ORC2	-0.434	-0.659	1.083	0.333	Tuft-3	698	0.186952022717867
H4C3	0.055	-0.463	1.721	-0.057	Tuft-3	919	0.203503820577539
STMN1	0.474	-0.71	1.193	-0.845	Tuft-3	1124	0.28704202476116
ARL6IP1	-0.136	-0.101	1.241	0.094	Tuft-3	1226	0.317181160940806
WNT5B	-0.209	-0.031	0.03	1.193	Tuft-4	66	0.0172105079515084
AC007342.9	-0.477	-0.477	0.358	1.055	Tuft-4	80	0.0218630831981522
NFE2	-0.324	-0.324	0.265	1.233	Tuft-4	90	0.0212134454666242
SHD	-0.466	-0.466	0.352	1.027	Tuft-4	99	0.0210443211100331
C6orf15	-0.075	-0.412	0.071	1.357	Tuft-4	101	0.0259238049037542
AREG	-0.708	-0.651	0.447	1.047	Tuft-4	108	0.028651655961754
FAM167A	-0.204	-0.292	0.178	1.224	Tuft-4	117	0.0284354778090727
RAPGEF4	-0.55	-0.544	0.394	1.101	Tuft-4	123	0.0299530960326656
AC007342.5	-0.542	-0.42	0.325	1.227	Tuft-4	127	0.0337411403357194
POU2F2	-0.444	-0.19	0.168	1.017	Tuft-4	131	0.0361666227531384
QPCT	-0.502	-0.169	0.152	1.363	Tuft-4	139	0.0377522413551331
FCGR2B	-0.463	-0.384	0.303	1.604	Tuft-4	148	0.0345000553313226
AL109615.3	-0.732	-0.619	0.432	1.399	Tuft-4	158	0.0387416324428996
ATP8A2	-0.294	-0.527	0.244	1.459	Tuft-4	158	0.0400338102722881
TRABD2A	-0.304	-0.899	0.251	1.037	Tuft-4	159	0.0390192893143587
ALDH1A2	-0.178	-0.097	0.091	2.195	Tuft-4	186	0.0416011425034116
KLF2	-0.645	-0.516	0.379	1.223	Tuft-4	187	0.0462200134546146
CCN2	-0.48	-0.094	0.089	1.081	Tuft-4	194	0.0579591787931087
CCL25	0.132	-0.5	-0.145	1.084	Tuft-4	214	0.0567153909070937
TRIM15	-0.342	-0.137	0.125	1.043	Tuft-4	222	0.0531291456632252
AMOT	-0.783	-0.985	0.505	1.168	Tuft-4	235	0.0566908688970339
NIPAL2	-0.527	0.14	-0.155	1.252	Tuft-4	242	0.0585114340472196
CDHR2	0.167	-0.189	-0.305	1.351	Tuft-4	261	0.070556959121284
TCL6	-1.086	0.443	-0.642	1.023	Tuft-4	261	0.0695159419149403
IFFO2	-1.018	-1.388	0.591	1.104	Tuft-4	263	0.068192649642985
WIPF1	0.157	-0.33	-0.176	1.375	Tuft-4	269	0.0789873224984535
B3GAT1	-0.646	-0.541	0.393	1.777	Tuft-4	278	0.0622797653400632
TNFRSF1B	-1.13	-0.706	0.472	1.53	Tuft-4	286	0.0713266351717226
SOCS1	-1.463	-1.541	0.711	1.155	Tuft-4	287	0.073026899653698
ADM	-0.811	-0.132	0.121	1.033	Tuft-4	291	0.078274512196907
FCGR2A	-0.879	-1.042	0.542	1.896	Tuft-4	304	0.0741003757079726
TM6SF2	-1.153	-0.846	0.53	1.453	Tuft-4	305	0.0729126230157922
GADD45G	-0.672	-1.071	0.456	1.462	Tuft-4	308	0.0786791058619563
PTPRG-AS1	-1.519	-1.081	0.611	1.189	Tuft-4	318	0.0687912530776136
SPTLC3	-0.882	-0.807	0.514	1.255	Tuft-4	323	0.076309101568896
SDCBP2	-0.329	-0.052	0.05	1.115	Tuft-4	335	0.0858959999134524
EREG	-1.559	-1.412	0.7	1.338	Tuft-4	336	0.0794940206372718
S100P	-1.585	-0.681	0.461	1.099	Tuft-4	344	0.0918372430942844
RETREG1	-1.038	-1.037	0.597	1.185	Tuft-4	390	0.098921280719456
CISH	-1.674	-1.712	0.754	1.063	Tuft-4	400	0.0945705176219327
MIAT	-1.509	-1.805	0.721	1.242	Tuft-4	420	0.104970089523974
SLCO4A1-AS1	-0.272	-0.422	0.229	1.02	Tuft-4	455	0.117291206739791
C1QTNF1-AS1	-0.724	-1.484	0.48	1.495	Tuft-4	457	0.115629458672921
DUOX2	-1.635	-0.922	0.558	1.361	Tuft-4	464	0.114683777104935
HMOX1	-0.848	-0.506	0.374	1.083	Tuft-4	470	0.13359682709137
HBEGF	-0.478	-0.527	0.359	1.014	Tuft-4	479	0.12093300008326
PTPRG	-0.419	-0.552	0.324	1.422	Tuft-4	501	0.121997891536824
KRT20	-0.814	-0.204	0.179	1.159	Tuft-4	503	0.128749111649753
AC068050.1	-0.507	-1.116	0.375	1.724	Tuft-4	581	0.142646515761942
KLK1	-0.871	-0.724	0.48	1.282	Tuft-4	585	0.138377129323828
MORC4	-0.753	-0.839	0.492	1.192	Tuft-4	646	0.157836281542382
GPX2	-0.995	-0.526	0.385	1.112	Tuft-4	838	0.19930251425108
MGLL	-0.636	0.176	-0.2	1.127	Tuft-4	936	0.235634081512921
OAS1	-1.153	-0.818	0.519	1.003	Tuft-4	957	0.242596087299934
RFLNA	-1.568	-0.908	0.553	1.49	Tuft-4	1049	0.262971202080346
SLC41A1	-2.446	-1.783	0.774	1.171	Tuft-4	1122	0.2680059685749
SLC16A1	-1.507	-1.742	0.721	1.11	Tuft-4	1155	0.304504061121013
VIPR1-AS1	-1.39	-1.101	0.617	1.691	Tuft-4	1209	0.3041347201005
TNFSF10	-0.725	-0.989	0.48	1.08	Tuft-4	1234	0.301515402826664
DNAL1	-2.088	-1.727	0.764	1.284	Tuft-4	1452	0.362508444355922
PHGR1	-1.193	-0.883	0.544	1.279	Tuft-4	1468	0.369991583662092
SYNGR2	-0.794	-0.628	0.436	1.04	Tuft-4	1649	0.402621798908553
ADI1	-0.762	-0.589	0.417	1.73	Tuft-4	1670	0.400707898855364
CHP1	-0.756	-0.51	0.376	1.064	Tuft-4	1716	0.44102650801793
ATP12A	-1.557	-0.064	0.062	2.286	Tuft-4	1735	0.406512194594543
TRAK1	-0.809	-1.017	0.515	1.049	Tuft-4	2915	0.738077710377055
TACSTD2	-2.864	-3.174	0.897	1.835	Tuft-4	2934	0.694227729754
PAPSS2	-1.446	-1.631	0.707	1.067	Tuft-4	3566	0.88547093938581
RAB27B	-2.233	-2.448	0.838	1.157	Tuft-4	3909	0.95257868922195
MGST3	-2.211	-2.024	0.811	1.065	Tuft-4	4703	1.17622685705841
VIPR1	-1.466	-1.371	0.69	1.337	Tuft-4	5023	1.28420308183777
